2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      277.6292
492      277.6403
492      277.6515
492      277.6634
492      277.6753
492      277.6854
492      277.6969
492      277.7068
492      277.7175
492      277.7278
492      277.7404
492      277.751
492      277.7632
492      277.7728
492      277.7851
492      277.7958
492      277.8066
492      277.817
492      277.8277
492      277.8405
492      277.8512
492      277.8628
492      277.8727
492      277.8839
492      277.8949
492      277.9067
492      277.9179
492      277.9295
492      277.9392
492      277.9518
492      277.9608
492      277.9733
492      277.9872
492      278.0073
492      278.0139
492      278.0207
492      278.028
492      278.0401
492      278.0517
492      278.0616
492      278.0728
492      278.0839
492      278.0938
492      278.1182
492      278.1241
492      278.1298
492      278.1407
492      278.1553
492      278.1793
492      278.2002
492      278.2126
492      278.239
492      278.2574
492      278.2643
492      278.2708
492      278.2762
492      278.2828
492      278.2942
492      278.3049
492      278.3177
492      278.3293
492      278.34
492      278.3511
492      278.3608
492      278.3723
492      278.383
492      278.3966
492      278.4056
492      278.4169
492      278.428
492      278.4391
492      278.4515
492      278.4619
492      278.4729
492      278.4834
492      278.4973
492      278.5069
492      278.5183
492      278.5289
492      278.5407
492      278.5508
492      278.562
492      278.5726
492      278.5828
492      278.5952
492      278.6058
492      278.6169
492      278.6278
492      278.639
492      278.6499
492      278.6609
492      278.672
492      278.6829
492      278.6941
492      278.7061
492      278.7176
492      278.7295
492      278.7451
492      278.7516
492      278.769
492      278.775
492      278.7839
492      278.7952
492      278.8054
492      278.8239
492      278.8314
492      278.8396
492      278.852
492      278.8625
492      278.8734
492      278.8835
492      278.8956
492      278.9054
492      278.9172
492      278.9297
492      278.9395
492      278.9517
492      278.961
492      278.9743
492      278.9842
492      278.9965
492      279.0068
492      279.0177
492      279.0282
492      279.0525
492      279.0588
492      279.0646
492      279.0734
492      279.0845
492      279.0949
492      279.1073
492      279.117
492      279.1289
492      279.1399
492      279.1494
492      279.1632
492      279.1856
492      279.2045
492      279.2101
492      279.2173
492      279.2228
492      279.2289
492      279.239
492      279.2516
492      279.2609
492      279.2734
492      279.2833
492      279.2939
492      279.3054
492      279.316
492      279.3279
492      279.3393
492      279.3499
492      279.361
492      279.3739
492      279.3835
492      279.394
492      279.4059
492      279.4163
492      279.4292
492      279.4402
492      279.4497
492      279.4623
492      279.4846
492      279.4904
492      279.4976
492      279.5048
492      279.5162
492      279.5272
492      279.5391
492      279.55
492      279.5612
492      279.5714
492      279.5836
492      279.5957
492      279.618
492      279.6248
492      279.6306
492      279.6393
492      279.651
492      279.6605
492      279.6725
492      279.6845
492      279.6939
492      279.7053
492      279.7185
492      279.7269
492      279.7382
492      279.7502
492      279.7625
492      279.7735
492      279.7831
492      279.7961
492      279.8049
492      279.8161
492      279.8282
492      279.838
492      279.8503
492      279.8606
492      279.8722
492      279.8834
492      279.9013
492      279.9207
492      279.9266
492      279.9322
492      279.9382
492      279.9492
492      279.9613
492      279.9725
492      279.9833
492      280.0007
492      280.0234
492      280.0332
492      280.0424
492      280.0483
492      280.0538
492      280.0612
492      280.0724
492      280.0833
492      280.0956
492      280.1051
492      280.1162
492      280.1276
492      280.1412
492      280.1534
492      280.1635
492      280.1862
492      280.1924
492      280.2281
492      280.2464
492      280.2542
492      280.2612
492      280.2723
492      280.2841
492      280.2953
492      280.3057
492      280.3175
492      280.3275
492      280.3391
492      280.35
492      280.3611
492      280.372
492      280.3829
492      280.3941
492      280.4055
492      280.4159
492      280.427
492      280.4391
492      280.4501
492      280.4606
492      280.472
492      280.4841
492      280.4935
492      280.508
492      280.5175
492      280.5291
492      280.5399
492      280.5495
492      280.5622
492      280.573
492      280.5837
492      280.5958
492      280.6065
492      280.6173
492      280.6281
492      280.6402
492      280.6514
492      280.6612
492      280.6727
492      280.6836
492      280.6946
492      280.7056
492      280.7181
492      280.728
492      280.7404
492      280.7507
492      280.7632
492      280.7719
492      280.7849
492      280.7957
492      280.8061
492      280.8174
492      280.8292
492      280.8399
492      280.8517
492      280.8615
492      280.8737
492      280.8837
492      280.8953
492      280.9061
492      280.9169
492      280.9292
492      280.9406
492      280.9508
492      280.9619
492      280.9734
492      280.9837
492      280.9952
492      281.0062
492      281.0161
492      281.0303
492      281.04
492      281.0502
492      281.0613
492      281.0722
492      281.0845
492      281.0952
492      281.1077
492      281.1177
492      281.1284
492      281.1411
492      281.1504
492      281.1622
492      281.1722
492      281.184
492      281.1952
492      281.2057
492      281.2189
492      281.2277
492      281.2389
492      281.2502
492      281.2622
492      281.2718
492      281.2831
492      281.2956
492      281.3049
492      281.3174
492      281.3293
492      281.3387
492      281.35
492      281.3611
492      281.3719
492      281.3832
492      281.394
492      281.405
492      281.417
492      281.4306
492      281.4523
492      281.4579
492      281.4636
492      281.4722
492      281.4844
492      281.4943
492      281.5053
492      281.5173
492      281.5287
492      281.5392
492      281.5501
492      281.561
492      281.5717
492      281.5832
492      281.5939
492      281.6061
492      281.6184
492      281.6277
492      281.639
492      281.6509
492      281.6613
492      281.6724
492      281.6846
492      281.6945
492      281.7075
492      281.7163
492      281.7275
492      281.7388
492      281.7498
492      281.7605
492      281.7719
492      281.7833
492      281.7944
492      281.8055
492      281.8165
492      281.8278
492      281.8384
492      281.8496
492      281.8612
492      281.8719
492      281.883
492      281.8941
492      281.9053
492      281.9169
492      281.9275
492      281.9388
492      281.9497
492      281.961
492      281.9723
492      281.983
492      281.9941
492      282.0052
492      282.0162
492      282.0271
492      282.039
492      282.0496
492      282.0608
492      282.0718
492      282.0829
492      282.0939
492      282.1049
492      282.117
492      282.128
492      282.1389
492      282.1499
492      282.1611
492      282.1719
492      282.183
492      282.1939
492      282.2053
492      282.216
492      282.227
492      282.2381
492      282.2501
492      282.2614
492      282.2731
492      282.2833
492      282.2942
492      282.3055
492      282.3167
492      282.3275
492      282.3386
492      282.3496
492      282.3605
